Time,Action,Price,PnL_Trailing
2024-03-05 19:35:00,SELL,62352.03,-909.0800000000017
2024-03-05 20:02:00,BUY,62407.14,
2024-03-05 20:17:00,SELL,62414.51,7.370000000002619
2024-03-05 20:18:00,BUY,62535.18,
2024-03-05 20:36:00,SELL,62067.77,-467.4100000000035
2024-03-05 21:02:00,BUY,62269.73,
2024-03-05 21:35:00,SELL,63306.09,1036.3599999999933
2024-03-05 21:40:00,BUY,63747.19,
2024-03-05 21:55:00,SELL,63089.87,-657.3199999999997
2024-03-05 22:29:00,BUY,63155.69,
2024-03-06 00:03:00,SELL,63650.0,494.3099999999977
2024-03-06 00:17:00,BUY,63812.09,
2024-03-06 00:56:00,SELL,63465.4,-346.68999999999505
2024-03-06 01:04:00,BUY,63652.61,
2024-03-06 02:00:00,SELL,63077.5,-575.1100000000006
2024-03-06 02:20:00,BUY,63379.21,
2024-03-06 02:59:00,SELL,62795.0,-584.2099999999991
2024-03-06 03:16:00,BUY,63027.13,
2024-03-06 06:21:00,SELL,65808.01,2780.8799999999974
2024-03-06 06:40:00,BUY,65930.01,
2024-03-06 08:42:00,SELL,66878.1,948.0900000000111
2024-03-06 09:01:00,BUY,67014.86,
2024-03-06 09:51:00,SELL,66557.11,-457.75
2024-03-06 10:07:00,BUY,66499.98,
2024-03-06 12:23:00,SELL,66842.72,342.74000000000524
2024-03-06 13:00:00,BUY,66196.49,
2024-03-06 13:08:00,SELL,65406.0,-790.4900000000052
2024-03-06 13:16:00,BUY,66277.0,
2024-03-06 14:44:00,SELL,66361.1,84.10000000000582
2024-03-06 15:12:00,BUY,66048.4,
2024-03-06 18:48:00,SELL,66613.91,565.5100000000093
2024-03-06 18:57:00,BUY,66971.34,
2024-03-06 21:13:00,SELL,66632.64,-338.6999999999971
2024-03-06 21:47:00,BUY,66470.91,
2024-03-06 23:01:00,SELL,65857.15,-613.7600000000093
2024-03-06 23:10:00,BUY,66080.93,
2024-03-07 04:02:00,SELL,65767.31,-313.61999999999534
2024-03-07 04:10:00,BUY,65939.12,
2024-03-07 14:43:00,SELL,66917.35,978.2300000000105
2024-03-07 15:01:00,BUY,67230.56,
2024-03-07 21:06:00,SELL,67189.26,-41.30000000000291
2024-03-07 21:36:00,BUY,67280.0,
2024-03-08 00:06:00,SELL,66788.56,-491.4400000000023
2024-03-08 00:10:00,BUY,66871.92,
2024-03-08 15:32:00,SELL,68011.03,1139.1100000000006
2024-03-08 16:24:00,BUY,67199.99,
2024-03-08 21:23:00,SELL,68622.85,1422.8600000000006
2024-03-08 22:19:00,BUY,68350.44,
2024-03-10 14:32:00,SELL,69132.17,781.7299999999959
2024-03-10 14:53:00,BUY,69173.58,
2024-03-10 22:02:00,SELL,69000.01,-173.57000000000698
2024-03-10 22:37:00,BUY,68817.24,
2024-03-11 00:44:00,SELL,68218.02,-599.2200000000012
2024-03-11 01:06:00,BUY,68042.01,
2024-03-11 11:55:00,SELL,71450.97,3408.9600000000064
2024-03-11 12:22:00,BUY,71620.0,
2024-03-11 13:42:00,SELL,71596.87,-23.130000000004657
2024-03-11 14:05:00,BUY,71672.74,
2024-03-11 16:03:00,SELL,71821.1,148.36000000000058
2024-03-11 16:09:00,BUY,72164.0,
2024-03-11 19:38:00,SELL,72039.98,-124.02000000000407
2024-03-11 20:15:00,BUY,72087.65,
2024-03-12 00:57:00,SELL,72000.0,-87.64999999999418
2024-03-12 01:17:00,BUY,72250.0,
2024-03-12 03:22:00,SELL,71595.99,-654.0099999999948
2024-03-12 03:42:00,BUY,71750.06,
2024-03-12 08:23:00,SELL,71556.54,-193.52000000000407
2024-03-12 08:45:00,BUY,71778.47,
2024-03-12 14:09:00,SELL,72063.98,285.50999999999476
2024-03-12 14:25:00,BUY,72127.99,
2024-03-12 15:00:00,SELL,71128.09,-999.9000000000087
2024-03-12 15:13:00,BUY,71959.08,
2024-03-12 16:15:00,SELL,71305.96,-653.1199999999953
2024-03-12 16:46:00,BUY,70728.45,
2024-03-12 17:08:00,SELL,69959.98,-768.4700000000012
2024-03-12 17:33:00,BUY,69685.04,
2024-03-12 20:27:00,SELL,70908.56,1223.520000000004
2024-03-12 21:00:00,BUY,71012.02,
2024-03-13 12:34:00,SELL,72849.1,1837.0800000000017
2024-03-13 12:55:00,BUY,72944.0,
2024-03-13 13:49:00,SELL,72236.02,-707.9799999999959
2024-03-13 14:01:00,BUY,72454.2,
2024-03-14 01:04:00,SELL,72632.0,177.8000000000029
2024-03-14 01:15:00,BUY,72754.82,
