CALLS,PUTS,OI_CALL,CHNG_IN_OI_CALL,VOLUME_CALL,IV_CALL,LTP_CALL,CHNG_CALL,BID_QTY_CALL,BID_CALL,ASK_CALL,ASK_QTY_CALL,STRIKE,BID_QTY_PUT,BID_PUT,ASK_PUT,ASK_QTY_PUT,CHNG_PUT,LTP_PUT,IV_PUT,VOLUME_PUT,CHNG_IN_OI_PUT,OI_PUT
,"5,002",-1675.0,25688.0,32.09,0.8,-0.65,75.0,0.75,0.95,7200.0,24050.0,675,1474.95,1490.15,150.0,69.0,1485.15,0.0,113.0,-81.0,194.0,
,"27,186",-3443.0,135889.0,33.02,0.6,-0.75,54150.0,0.6,0.7,1800.0,24100.0,75,1530.0,1536.65,225.0,49.65,1535.0,0.0,343.0,-300.0,1103.0,
,"5,184",-762.0,22836.0,34.73,0.75,-0.65,46950.0,0.75,1.15,1500.0,24150.0,75,1580.75,1589.65,75.0,-3.8,1541.3,0.0,2.0,-1.0,1802.0,
,"16,066",-6800.0,75183.0,35.42,0.7,-0.55,4875.0,0.6,0.65,5175.0,24200.0,150,1632.8,1640.55,300.0,41.85,1635.0,0.0,2361.0,-1093.0,2204.0,
,"2,280",-1940.0,21554.0,35.15,0.5,-0.75,450.0,0.5,1.2,1500.0,24250.0,"1,125",1633.9,1693.7,150.0,56.3,1660.0,0.0,46.0,-8.0,89.0,
,"12,974",-15403.0,104884.0,36.99,0.65,-0.55,40125.0,0.65,0.85,600.0,24300.0,300,1727.65,1743.1,600.0,52.35,1739.1,0.0,669.0,-625.0,746.0,
,"3,366",-5391.0,34312.0,36.57,0.45,-0.7,150.0,0.45,0.5,375.0,24350.0,975,1772.6,1787.55,150.0,18.05,1782.8,0.0,5.0,-5.0,89.0,
,"11,296",-3933.0,36175.0,36.59,0.5,-0.65,7125.0,0.35,0.5,15825.0,24400.0,75,1825.85,1839.75,150.0,50.05,1839.0,0.0,1095.0,-847.0,825.0,
,"2,006",-1084.0,11867.0,40.02,0.35,-0.8,6975.0,0.35,0.7,1575.0,24450.0,150,1874.8,1887.6,75.0,208.0,1843.05,0.0,22.0,-11.0,53.0,
,"82,228",-28054.0,145982.0,39.61,0.5,-0.65,13575.0,0.5,1.15,1500.0,24500.0,75,1932.0,1938.4,375.0,49.9,1936.85,0.0,5811.0,-3669.0,5203.0,
,"2,169",-2008.0,14698.0,39.17,0.35,-0.75,10800.0,0.3,1.45,600.0,24550.0,750,1933.1,2014.3,75.0,0.0,1963.3,0.0,0.0,0.0,58.0,
,"7,091",-5559.0,40912.0,41.74,0.55,-0.6,97350.0,0.5,0.6,1500.0,24600.0,75,2031.05,2042.65,750.0,55.0,2041.85,50.07,636.0,-586.0,328.0,
,857,-1664.0,13126.0,41.37,0.4,-0.7,2925.0,0.4,0.65,300.0,24650.0,150,2072.3,2094.55,75.0,394.4,2047.2,0.0,4.0,-3.0,53.0,
,"4,991",-3913.0,28557.0,43.11,0.5,-0.55,75.0,0.55,1.2,1500.0,24700.0,150,2125.2,2137.55,150.0,52.9,2135.6,0.0,43.0,-40.0,497.0,
,"3,506",-962.0,22963.0,43.97,0.5,-0.55,825.0,0.35,1.0,900.0,24750.0,150,2175.75,2190.45,75.0,311.45,2181.75,0.0,27.0,-9.0,83.0,
,"23,454",-5443.0,53580.0,45.24,0.55,-0.65,73350.0,0.5,0.55,825.0,24800.0,75,2230.8,2240.95,150.0,80.6,2241.65,53.9,307.0,-267.0,206.0,
,"1,703",-979.0,16220.0,44.77,0.4,-0.65,8850.0,0.3,1.05,450.0,24850.0,"1,125",2126.45,2319.45,1125.0,0.0,1846.4,0.0,0.0,0.0,1.0,
,"14,733",-712.0,34971.0,47.36,0.6,-0.6,7050.0,0.6,0.7,675.0,24900.0,75,2328.9,2363.15,1125.0,78.0,2334.0,0.0,31.0,-17.0,94.0,
,744,-500.0,7679.0,46.95,0.45,-0.6,9000.0,0.3,1.15,1500.0,24950.0,"1,125",2240.5,2447.85,1125.0,0.0,1957.35,0.0,0.0,0.0,2.0,
,"54,333",-14508.0,82278.0,48.69,0.55,-0.55,29100.0,0.5,0.55,3750.0,25000.0,375,2437.5,2440.0,75.0,50.45,2440.0,52.81,3869.0,-3016.0,6702.0,
,"4,317",-64.0,20756.0,46.93,0.3,-0.7,8775.0,0.3,0.4,750.0,25050.0,"1,125",2322.65,2510.6,75.0,0.0,2051.2,0.0,0.0,0.0,1.0,
,"5,362",-8789.0,60668.0,48.38,0.4,-0.75,5175.0,0.35,0.4,14775.0,25100.0,225,2525.65,2582.6,975.0,13.0,2495.0,0.0,40.0,-27.0,80.0,
,433,-561.0,3391.0,50.31,0.45,-0.6,9000.0,0.3,1.35,3000.0,25150.0,"1,125",2425.35,2901.2,1725.0,0.0,2116.0,0.0,0.0,0.0,3.0,
,"6,309",-8387.0,63269.0,50.02,0.35,-0.8,35475.0,0.3,0.35,750.0,25200.0,75,2628.05,2644.2,75.0,46.1,2633.1,0.0,195.0,-163.0,266.0,
,838,-218.0,2929.0,52.92,0.55,-0.5,10800.0,0.3,0.95,1500.0,25250.0,"1,125",2504.8,2852.75,75.0,0.0,2591.45,0.0,0.0,0.0,13.0,
,"3,024",-330.0,18249.0,51.64,0.35,-0.6,1800.0,0.25,0.5,900.0,25300.0,150,2728.0,2743.0,150.0,22.0,2702.0,0.0,92.0,-72.0,55.0,
