Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Trades,TakerBaseVolume,TakerQuoteVolume,Ignore
2025-07-01 22:47:00,105772.01,105772.02,105769.17,105769.17,1.3042,1751410079999,137946.09145490,228,0.06554000,6932.18683440,0
2025-07-01 22:48:00,105769.18,105769.18,105756.37,105762.02,1.64189,1751410139999,173651.50612880,719,0.68649000,72602.70253270,0
2025-07-01 22:49:00,105762.02,105762.03,105762.02,105762.02,2.12454,1751410199999,224695.64638840,223,0.44176000,46721.43437280,0
2025-07-01 22:50:00,105762.03,105767.93,105762.02,105767.92,2.84534,1751410259999,300930.40347830,450,1.75771000,185900.12862270,0
2025-07-01 22:51:00,105767.92,105767.93,105724.52,105724.53,3.2229,1751410319999,340803.20552090,1181,0.32123000,33970.26832250,0
2025-07-01 22:52:00,105724.53,105724.53,105724.52,105724.52,0.6629,1751410379999,70084.78522890,153,0.09209000,9736.17196770,0
2025-07-01 22:53:00,105724.53,105724.53,105720.0,105724.52,1.97847,1751410439999,209166.11483020,627,1.13818000,120328.77263840,0
2025-07-01 22:54:00,105724.53,105743.09,105724.52,105743.08,2.49322,1751410499999,263603.80492950,475,1.48894000,157423.42777910,0
2025-07-01 22:55:00,105743.09,105743.09,105740.99,105740.99,1.61246,1751410559999,170504.68019760,251,1.11751000,118167.21805200,0
2025-07-01 22:56:00,105740.99,105741.0,105724.54,105724.54,1.50082,1751410619999,158690.91230940,475,0.12189000,12888.51650680,0
2025-07-01 22:57:00,105724.53,105724.54,105655.77,105655.78,26.75634,1751410679999,2827967.23869300,1716,0.22402000,23675.49450020,0
2025-07-01 22:58:00,105655.77,105655.78,105630.94,105630.94,3.52347,1751410739999,372249.37033260,952,0.21314000,22518.35535670,0
2025-07-01 22:59:00,105630.95,105630.95,105600.0,105613.22,5.03048,1751410799999,531291.40958390,1549,2.95933000,312527.30491280,0
2025-07-01 23:00:00,105613.21,105613.22,105608.21,105608.22,2.29639,1751410859999,242527.03477310,437,0.92950000,98167.44266830,0
2025-07-01 23:01:00,105608.22,105608.22,105560.79,105560.79,3.80531,1751410919999,401821.86002450,1424,0.25634000,27070.25410500,0
2025-07-01 23:02:00,105560.8,105589.83,105560.79,105589.82,3.98447,1751410979999,420679.77275450,1255,1.77206000,187075.80178960,0
2025-07-01 23:03:00,105589.83,105589.83,105558.1,105558.11,2.90806,1751411039999,307020.85223310,957,1.39525000,147302.62118220,0
