Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Trades,TakerBaseVolume,TakerQuoteVolume,Ignore
2025-04-04 01:43:00,82923.68,82923.68,82886.94,82918.08,18.34571,1743731039999,1521012.96963810,1835,5.68257000,471104.70108150,0
2025-04-04 01:44:00,82918.08,82923.22,82895.45,82923.21,5.16466,1743731099999,428195.48748760,861,1.35526000,112363.85762670,0
2025-04-04 01:45:00,82923.21,82943.47,82919.6,82943.47,4.2373,1743731159999,351380.71195140,637,2.15256000,178500.07390930,0
2025-04-04 01:46:00,82943.46,82943.47,82898.01,82926.37,11.1191,1743731219999,921986.06795940,1866,2.10972000,174943.56726850,0
2025-04-04 01:47:00,82926.37,82939.53,82918.85,82939.52,2.85425,1743731279999,236700.63215560,784,2.34517000,194483.30739130,0
2025-04-04 01:48:00,82939.52,82990.26,82939.52,82945.82,7.04898,1743731339999,584762.05049300,1798,5.28558000,438442.72110460,0
2025-04-04 01:49:00,82945.81,82972.97,82926.86,82926.87,5.15129,1743731399999,427323.85460800,1274,2.76088000,229029.54872240,0
2025-04-04 01:50:00,82926.87,82942.51,82873.5,82880.0,10.49802,1743731459999,870344.29452430,1722,1.91354000,158687.44146940,0
2025-04-04 01:51:00,82880.0,82895.6,82850.0,82855.02,7.135,1743731519999,591233.83533930,1688,2.70018000,223732.36971660,0
2025-04-04 01:52:00,82855.01,82889.41,82848.75,82864.63,5.37816,1743731579999,445655.70973530,1594,2.69180000,223051.08992110,0
2025-04-04 01:53:00,82864.64,82875.95,82859.89,82859.9,6.97261,1743731639999,577821.82386310,1012,1.43029000,118525.70631010,0
2025-04-04 01:54:00,82859.89,82876.75,82858.71,82860.59,4.47106,1743731699999,370502.77981450,943,0.90822000,75264.75823620,0
2025-04-04 01:55:00,82860.6,82860.6,82792.27,82813.68,17.55116,1743731759999,1453446.83405510,1699,1.24461000,103065.40169960,0
2025-04-04 01:56:00,82813.68,82813.69,82662.05,82708.99,55.52459,1743731819999,4591918.14735480,4460,6.72919000,556729.10446540,0
2025-04-04 01:57:00,82708.98,82712.44,82577.63,82618.48,64.66975,1743731879999,5343355.64214830,5835,29.07880000,2402605.33533540,0
2025-04-04 01:58:00,82618.49,82713.62,82598.0,82622.59,253.68484,1743731939999,20972524.88639440,8046,185.70624000,15352744.56706140,0
2025-04-04 01:59:00,82623.3,82723.37,82623.3,82695.91,16.49776,1743731999999,1363854.61218930,5360,10.55446000,872500.04665440,0
2025-04-04 02:00:00,82695.9,82782.11,82695.9,82782.11,12.58107,1743732059999,1040983.99621000,3648,9.23955000,764470.71068810,0
2025-04-04 02:01:00,82782.1,82832.72,82782.1,82796.33,5.62134,1743732119999,465502.68333120,3249,3.51024000,290660.49217720,0
2025-04-04 02:02:00,82796.33,82857.11,82791.38,82857.11,5.67228,1743732179999,469792.85148880,2107,4.51639000,374032.37819840,0
2025-04-04 02:03:00,82857.11,82908.14,82832.76,82908.14,5.6835,1743732239999,470972.27498760,2386,4.33319000,359083.36448350,0
2025-04-04 02:04:00,82908.15,82915.08,82883.57,82902.13,3.02071,1743732299999,250415.81134570,1511,1.37079000,113625.90580170,0
2025-04-04 02:05:00,82902.13,82913.71,82868.12,82868.12,4.64715,1743732359999,385210.29742960,1229,1.81380000,150350.74892180,0
2025-04-04 02:06:00,82868.11,82917.65,82866.08,82900.02,7.97947,1743732419999,661461.36530140,1354,6.02463000,499393.02313090,0
2025-04-04 02:07:00,82900.01,82981.14,82897.51,82942.42,5.09084,1743732479999,422248.39913170,2437,3.98677000,330662.77980500,0
2025-04-04 02:08:00,82942.42,83003.12,82936.0,82986.22,7.22723,1743732539999,599729.04100490,2212,5.73339000,475772.19666650,0
2025-04-04 02:09:00,82986.22,83009.99,82961.84,83009.42,4.40721,1743732599999,365719.48389160,1399,2.66724000,221331.66676750,0
2025-04-04 02:10:00,83008.42,83033.0,83008.41,83010.0,6.20664,1743732659999,515277.86622620,1214,3.07745000,255490.76859370,0
2025-04-04 02:11:00,83010.0,83052.93,82988.0,83052.92,6.45143,1743732719999,535575.46023470,1913,4.49524000,373208.47313310,0
2025-04-04 02:12:00,83052.92,83055.06,83030.33,83043.65,2.85035,1743732779999,236693.76870000,1117,1.04070000,86415.98493490,0
2025-04-04 02:13:00,83043.65,83055.04,83037.14,83055.04,3.90508,1743732839999,324293.71915480,931,2.52511000,209695.92678170,0
2025-04-04 02:14:00,83055.04,83100.0,83051.5,83059.88,5.93763,1743732899999,493214.62873730,2895,4.28022000,355535.83090120,0
2025-04-04 02:15:00,83059.87,83150.0,83059.87,83108.02,9.61317,1743732959999,798992.47582090,2882,6.21493000,516522.36048180,0
